OpenMLID,Dataset,Source,NInstances,NTrain,NTest,TrainIndexSHA256,TestIndexSHA256,CorrectDT,CorrectDS,AccuracyDT,AccuracyDS,BalancedAccuracyDT,BalancedAccuracyDS,AccuracyMajority,AccuracyGap_DT_minus_DS,Best,BestModel,BestModelBinary,mf_n_instances,mf_n_features_raw,mf_n_features_encoded,mf_n_classes,mf_feature_instance_ratio,mf_instance_feature_ratio,mf_numeric_ratio,mf_missing_rate,mf_class_entropy,mf_majority_class_prop,mf_minority_class_prop,mf_imbalance_ratio,mf_mean_abs_feature_corr
3,kr-vs-kp,OpenML,3196,2237,959,f25b9f1ddd27ab2e7d46c38102479efb2c5dafa56b4eb8743bac0155d6c79d03,3afbaeaf98d1ae7e5aafb25f1e029a41cbaba0652fb741c7fbe2cc2b6b02992d,951,650,0.991657977059,0.677789363921,0.991641171805,0.691616766467,0.522419186653,0.313868613139,-1,Decision tree,1,2237,36,73,2,0.0160929816719,62.1388888889,0,0,0.998586731048,0.522127849799,0.477872150201,1.09260991581,0.0951572846678
11,balance-scale,OpenML,625,437,188,71e73087128b0833584bd591eaf47a395353fd3a3fd79565499ea188115c62a7,4b9c4c091710182788fce6b9c8c1b4a3db3bea63f0bfcdac933fcbe30965db49,140,110,0.744680851064,0.585106382979,0.576075915531,0.424173572129,0.457446808511,0.159574468085,-1,Decision tree,1,437,4,4,3,0.0091533180778,109.25,1,0,1.31658364331,0.462242562929,0.0778032036613,5.94117647059,0.0178916693318
15,breast-w,OpenML,699,489,210,567d0be966f7b30ad12af10592c76d06d175cc6ab4fe0a9b8bbb76318be55599,1a16fe2aeb01eec88baa50ea00e599e4cdb1ca9b5dadcbf2d3c21b913ff1cf6c,199,192,0.947619047619,0.914285714286,0.940217391304,0.928140096618,0.657142857143,0.0333333333333,-1,Decision tree,1,489,9,9,2,0.0184049079755,54.3333333333,1,0.00295387411952,0.930079990135,0.654396728016,0.345603271984,1.89349112426,0.599484947411
31,credit-g,OpenML,1000,700,300,d03221fbded19f71a01fbba8bbf17dd731e8450b22c4ae88a22b586aa54fdd6e,bf664904213d8227322dbdfc9a31193fb3db970774c3d4b146b9ff031a902f5b,194,210,0.646666666667,0.7,0.544444444444,0.5,0.7,-0.0533333333333,1,Decision stump,0,700,20,61,2,0.0285714285714,35,0.35,0,0.881290899231,0.7,0.3,2.33333333333,0.0657521236444
37,diabetes,OpenML,768,537,231,a63ece273b4e2de68e7e5c3fb1fa29bf5aaf90c65595259c08a4691f981bd1c1,71b77e39a793d49a666f15dbbf3f1e400d3d238947b53731b7f6c6fd4d90d9ae,176,160,0.761904761905,0.692640692641,0.714444444444,0.652592592593,0.649350649351,0.0692640692641,-1,Decision tree,1,537,8,8,2,0.0148975791434,67.125,1,0,0.932478179028,0.651769087523,0.348230912477,1.87165775401,0.165269360899
40,sonar,OpenML,208,145,63,2dd4a2c766bad9b172b488561dfd6687d78d7be18064e25e8b7f3fe81b2e8daa,99daaa6077a493db12455b11668dfbdf4bc216032a8f4ee69fa105b66fcac197,39,43,0.619047619048,0.68253968254,0.614097363083,0.680527383367,0.539682539683,-0.0634920634921,1,Decision stump,0,145,60,60,2,0.413793103448,2.41666666667,1,0,0.997219180784,0.531034482759,0.468965517241,1.13235294118,0.243877493831
50,tic-tac-toe,OpenML,958,670,288,8f9589fa1de3b78ce7e3d13cd4d3dbe70b7728b611f7e8b18d2f7a51e4148e37,81e17615ca66bab7bbc7c18de2f6d12e5aea72bab6865dab1e02a885247a648d,263,198,0.913194444444,0.6875,0.903085106383,0.652978723404,0.652777777778,0.225694444444,-1,Decision tree,1,670,9,27,2,0.0134328358209,74.4444444444,0,0,0.930691430159,0.653731343284,0.346268656716,1.88793103448,0.0969266222631
54,vehicle,OpenML,846,592,254,de9dab33b5cde48df8615dca53e5f66574d3c06a55210d43177ab1b26d0b2934,fd5afe324d7dcf1c009454db31dca1ab60b0dcb51873b21d99a2f36e9996dbe4,176,103,0.692913385827,0.405511811024,0.695973557692,0.399038461538,0.255905511811,0.287401574803,-1,Decision tree,1,592,18,18,4,0.0304054054054,32.8888888889,1,0,1.99898507307,0.258445945946,0.234797297297,1.10071942446,0.404270257527
61,iris,OpenML,150,105,45,0fd335484cb0f583ebf0b3a8210774298062c97425a0d8e08ab66208e9fdf754,ebef0325a65c08912e1cb0d824d7597b76f23be7398a984d84cfc1edc1e84669,42,30,0.933333333333,0.666666666667,0.933333333333,0.666666666667,0.333333333333,0.266666666667,-1,Decision tree,1,105,4,4,3,0.0380952380952,26.25,1,0,1.58496250072,0.333333333333,0.333333333333,1,0.575236303843
187,wine,OpenML,178,124,54,b20324eff6c3e356994b0f08e7123cca1af95914c556068c64138f63b6591307,5486bb732f0312edff710bef97b87ddb2b017ffc7c38ce04206eb22fe47a3c1e,52,33,0.962962962963,0.611111111111,0.959259259259,0.566137566138,0.388888888889,0.351851851852,-1,Decision tree,1,124,13,13,3,0.104838709677,9.53846153846,1,0,1.56453947477,0.403225806452,0.266129032258,1.51515151515,0.301304087341
