openml_id,name,version,target,n_instances,n_features,n_classes,parquet_url,sha256,openml_licence,source_url,reason_for_inclusion
3,kr-vs-kp,1,class,3196,36,2,https://data.openml.org/datasets/0000/0003/dataset_3.pq,f1fcae85ccef273e8c7b4c98dd61ef80041a13da865d60a09ba5da3905633d20,Public,https://www.openml.org/d/3,Symbolic chess; categorical inputs and interaction-dependent rules
11,balance-scale,1,class,625,4,3,https://data.openml.org/datasets/0000/0011/dataset_11.pq,ff6000f4086ffc8540a891c2eecd5692080c85226e30f5aa6e54ed6d7905ea2c,Public,https://www.openml.org/d/11,Physical balance; three classes with a rare balanced class
15,breast-w,1,Class,699,9,2,https://data.openml.org/datasets/0000/0015/dataset_15.pq,4ec569c70d5e3beb79245c480571603b0bc2ee177dcb589ffc7fa2e733fa649e,Public,https://www.openml.org/d/15,Cytology; numeric inputs with explicitly missing values
31,credit-g,1,class,1000,20,2,https://data.openml.org/datasets/0000/0031/dataset_31.pq,5855869a10f25163c983e29b48bd11d5c3b2bddebe53cd305573083d23c8078f,Public,https://www.openml.org/d/31,Credit; mixed numeric/categorical inputs and asymmetric class frequencies
37,diabetes,1,class,768,8,2,https://data.openml.org/datasets/0000/0037/dataset_37.pq,4afd14f6318d2954a00fbd58ebe8427b73aa6b7ef9a1aac1ec1b88372b4a5cef,Public,https://www.openml.org/d/37,Diabetes; numeric health measurements and imperfect measurement conventions
40,sonar,1,Class,208,60,2,https://data.openml.org/datasets/0000/0040/dataset_40.pq,b498b124b5a2c9f6047c7313d519d65b7fb28b25a3e59db8bedbb1ec60c603bc,Public,https://www.openml.org/d/40,Sonar; 60 numeric predictors with only 208 observations
50,tic-tac-toe,1,Class,958,9,2,https://data.openml.org/datasets/0000/0050/dataset_50.pq,a9f22be92a8643e27a252d909f965a29e96b6cd3b364a202a9d7175c08fdb293,Public,https://www.openml.org/d/50,Board positions; categorical inputs and combinatorial interactions
54,vehicle,1,Class,846,18,4,https://data.openml.org/datasets/0000/0054/dataset_54.pq,240c7d30b152b614a514e07303e86d502486230e69aef60efcf52d4fa9e4ed65,Public,https://www.openml.org/d/54,Vehicle silhouettes; four classes and correlated shape measurements
61,iris,1,class,150,4,3,https://data.openml.org/datasets/0000/0061/dataset_61.pq,18762c5e9d663b42dbdb3f188a6ff687ade67c2a6d0d9d1e5763be835cb40e31,Public,https://www.openml.org/d/61,Flowers; small balanced three-class geometric reference
187,wine,1,class,178,13,3,https://data.openml.org/datasets/0000/0187/dataset_187.pq,b2572f0efd32e7259ac2d0ce65c8dcd2b19ea62b72b7db73312be6381715a100,Public,https://www.openml.org/d/187,Wine chemistry; small three-class problem with unequal feature scales
1462,banknote-authentication,1,Class,1372,4,2,https://data.openml.org/datasets/0000/1462/dataset_1462.pq,94ae64cb943d0bfe292167ce3dfb562f7c0dea707da055a904948d9cd1a2aa17,Public,https://www.openml.org/d/1462,Banknote images; compact continuous signal features
1464,blood-transfusion-service-center,1,Class,748,4,2,https://data.openml.org/datasets/0000/1464/dataset_1464.pq,55e955ebdbcefd066706a822b3d06d7d7b0d9a48b547ff3033d93562a2fbe60f,Public,https://www.openml.org/d/1464,Blood donation; low-dimensional imbalanced binary response
